"country","year","emissions_type","emissions"
"Australia",1900,"Cement",0
"Australia",1900,"Coal",10.047
"Australia",1900,"Flaring",0
"Australia",1900,"Gas",0
"Australia",1900,"Oil",0.121
"Australia",1900,"Other",0
"Australia",1901,"Cement",0
"Australia",1901,"Coal",11.205
"Australia",1901,"Flaring",0
"Australia",1901,"Gas",0
"Australia",1901,"Oil",0.234
"Australia",1901,"Other",0
"Australia",1902,"Cement",0
"Australia",1902,"Coal",11.285
"Australia",1902,"Flaring",0
"Australia",1902,"Gas",0
"Australia",1902,"Oil",0.11
"Australia",1902,"Other",0
"Australia",1903,"Cement",0
"Australia",1903,"Coal",11.051
"Australia",1903,"Flaring",0
"Australia",1903,"Gas",0
"Australia",1903,"Oil",0.174
"Australia",1903,"Other",0
"Australia",1904,"Cement",0
"Australia",1904,"Coal",11.377
"Australia",1904,"Flaring",0
"Australia",1904,"Gas",0
"Australia",1904,"Oil",0.167
"Australia",1904,"Other",0
"Australia",1905,"Cement",0
"Australia",1905,"Coal",11.868
"Australia",1905,"Flaring",0
"Australia",1905,"Gas",0
"Australia",1905,"Oil",0.185
"Australia",1905,"Other",0
"Australia",1906,"Cement",0
"Australia",1906,"Coal",14.18
"Australia",1906,"Flaring",0
"Australia",1906,"Gas",0
"Australia",1906,"Oil",0.178
"Australia",1906,"Other",0
"Australia",1907,"Cement",0
"Australia",1907,"Coal",15.264
"Australia",1907,"Flaring",0
"Australia",1907,"Gas",0
"Australia",1907,"Oil",0.223
"Australia",1907,"Other",0
"Australia",1908,"Cement",0
"Australia",1908,"Coal",16.565
"Australia",1908,"Flaring",0
"Australia",1908,"Gas",0
"Australia",1908,"Oil",0.227
"Australia",1908,"Other",0
"Australia",1909,"Cement",0
"Australia",1909,"Coal",14.33
"Australia",1909,"Flaring",0
"Australia",1909,"Gas",0
"Australia",1909,"Oil",0.25
"Australia",1909,"Other",0
"Australia",1910,"Cement",0
"Australia",1910,"Coal",17.437
"Australia",1910,"Flaring",0
"Australia",1910,"Gas",0
"Australia",1910,"Oil",0.27
"Australia",1910,"Other",0
"Australia",1911,"Cement",0
"Australia",1911,"Coal",19.24
"Australia",1911,"Flaring",0
"Australia",1911,"Gas",0
"Australia",1911,"Oil",0.287
"Australia",1911,"Other",0
"Australia",1912,"Cement",0
"Australia",1912,"Coal",20.786
"Australia",1912,"Flaring",0
"Australia",1912,"Gas",0
"Australia",1912,"Oil",0.425
"Australia",1912,"Other",0
"Australia",1913,"Cement",0
"Australia",1913,"Coal",22.391
"Australia",1913,"Flaring",0
"Australia",1913,"Gas",0
"Australia",1913,"Oil",0.411
"Australia",1913,"Other",0
"Australia",1914,"Cement",0
"Australia",1914,"Coal",24.479
"Australia",1914,"Flaring",0
"Australia",1914,"Gas",0
"Australia",1914,"Oil",0.443
"Australia",1914,"Other",0
"Australia",1915,"Cement",0
"Australia",1915,"Coal",21.793
"Australia",1915,"Flaring",0
"Australia",1915,"Gas",0
"Australia",1915,"Oil",0.476
"Australia",1915,"Other",0
"Australia",1916,"Cement",0
"Australia",1916,"Coal",19.273
"Australia",1916,"Flaring",0
"Australia",1916,"Gas",0
"Australia",1916,"Oil",0.581
"Australia",1916,"Other",0
"Australia",1917,"Cement",0
"Australia",1917,"Coal",20.76
"Australia",1917,"Flaring",0
"Australia",1917,"Gas",0
"Australia",1917,"Oil",0.574
"Australia",1917,"Other",0
"Australia",1918,"Cement",0
"Australia",1918,"Coal",22.94
"Australia",1918,"Flaring",0
"Australia",1918,"Gas",0
"Australia",1918,"Oil",0.424
"Australia",1918,"Other",0
"Australia",1919,"Cement",0
"Australia",1919,"Coal",21.739
"Australia",1919,"Flaring",0
"Australia",1919,"Gas",0
"Australia",1919,"Oil",0.447
"Australia",1919,"Other",0
"Australia",1920,"Cement",0
"Australia",1920,"Coal",25.732
"Australia",1920,"Flaring",0
"Australia",1920,"Gas",0
"Australia",1920,"Oil",0.574
"Australia",1920,"Other",0
"Australia",1921,"Cement",0
"Australia",1921,"Coal",23.153
"Australia",1921,"Flaring",0
"Australia",1921,"Gas",0
"Australia",1921,"Oil",0.632
"Australia",1921,"Other",0
"Australia",1922,"Cement",0
"Australia",1922,"Coal",24.344
"Australia",1922,"Flaring",0
"Australia",1922,"Gas",0
"Australia",1922,"Oil",0.578
"Australia",1922,"Other",0
"Australia",1923,"Cement",0
"Australia",1923,"Coal",24.849
"Australia",1923,"Flaring",0
"Australia",1923,"Gas",0
"Australia",1923,"Oil",0.835
"Australia",1923,"Other",0
"Australia",1924,"Cement",0
"Australia",1924,"Coal",27.07
"Australia",1924,"Flaring",0
"Australia",1924,"Gas",0
"Australia",1924,"Oil",1.121
