"country","emissions_type","year","total_emissions","proportion"
"Africa","Cement",1900,0,0
"Africa","Cement",1901,0,0
"Africa","Cement",1902,0,0
"Africa","Cement",1903,0,0
"Africa","Cement",1904,0,0
"Africa","Cement",1905,0,0
"Africa","Cement",1906,0,0
"Africa","Cement",1907,0,0
"Africa","Cement",1908,0,0
"Africa","Cement",1909,0,0
"Africa","Cement",1910,0,0
"Africa","Cement",1911,0,0
"Africa","Cement",1912,0,0
"Africa","Cement",1913,0,0
"Africa","Cement",1914,0,0
"Africa","Cement",1915,0,0
"Africa","Cement",1916,0,0
"Africa","Cement",1917,0,0
"Africa","Cement",1918,0,0
"Africa","Cement",1919,0,0
"Africa","Cement",1920,0,0
"Africa","Cement",1921,0,0
"Africa","Cement",1922,0,0
"Africa","Cement",1923,0,0
"Africa","Cement",1924,0,0
"Africa","Cement",1925,0,0
"Africa","Cement",1926,0,0
"Africa","Cement",1927,0,0
"Africa","Cement",1928,0.127,0.00365257405809606
"Africa","Cement",1929,0.366,0.0102228925758338
"Africa","Cement",1930,0.261,0.0077457264957265
"Africa","Cement",1931,0.266,0.00902827274887147
"Africa","Cement",1932,0.432,0.0162271805273834
"Africa","Cement",1933,0.464,0.0162864162864163
"Africa","Cement",1934,0.534,0.0164105716041795
"Africa","Cement",1935,0.61,0.0169869117237538
"Africa","Cement",1936,0.691,0.0177102288745931
"Africa","Cement",1937,0.727,0.0173740560175891
"Africa","Cement",1938,0.75,0.0170404198759457
"Africa","Cement",1939,0.73,0.0155806458497855
"Africa","Cement",1940,0.653,0.0131523293520514
"Africa","Cement",1941,0.72,0.0133274100399822
"Africa","Cement",1942,0.77,0.0130903403488491
"Africa","Cement",1943,0.809,0.0134564204923486
"Africa","Cement",1944,0.969,0.0145423438836612
"Africa","Cement",1945,0.937,0.0138759311090379
"Africa","Cement",1946,1.144,0.0167842838069807
"Africa","Cement",1947,1.281,0.0188559821008007
"Africa","Cement",1948,1.424,0.0198513933614933
"Africa","Cement",1949,1.532,0.0198127360198645
"Africa","Cement",1950,2.014,0.0212294978285618
"Africa","Cement",1951,2.269,0.0224373553784388
"Africa","Cement",1952,2.327,0.0210922275096306
"Africa","Cement",1953,2.637,0.0235431714089298
"Africa","Cement",1954,3.041,0.025872703914512
"Africa","Cement",1955,3.409,0.0263440569384017
"Africa","Cement",1956,3.517,0.0260314123725075
"Africa","Cement",1957,3.681,0.0259970478766606
"Africa","Cement",1958,3.989,0.026831056493869
"Africa","Cement",1959,4.189,0.0283343028368123
"Africa","Cement",1960,4.399,0.0280967770780374
"Africa","Cement",1961,4.3,0.0265441929948023
"Africa","Cement",1962,4.461,0.0268193705473893
"Africa","Cement",1963,4.798,0.0272097269953611
"Africa","Cement",1964,5.318,0.0274634758493898
"Africa","Cement",1965,5.691,0.0266388934397454
"Africa","Cement",1966,5.841,0.0264200613347084
"Africa","Cement",1967,5.964,0.0251597797886477
"Africa","Cement",1968,6.857,0.0266411276536226
"Africa","Cement",1969,7.895,0.0284078642467508
"Africa","Cement",1970,8.596,0.0284048852701702
"Africa","Cement",1971,9.231,0.0278157788478343
"Africa","Cement",1972,9.742,0.0276862827570331
"Africa","Cement",1973,10.295,0.0272352335828023
"Africa","Cement",1974,10.753,0.027686160009681
"Africa","Cement",1975,10.848,0.0280118265270551
"Africa","Cement",1976,11.101,0.0264220821105296
"Africa","Cement",1977,11.837,0.0273299870242015
"Africa","Cement",1978,12.515,0.0270602200710506
"Africa","Cement",1979,13.456,0.0269626358300889
"Africa","Cement",1980,14.673,0.0273914041804887
"Africa","Cement",1981,15.928,0.0290354922799278
"Africa","Cement",1982,17.024,0.0297764492493795
"Africa","Cement",1983,18.731,0.0315039163349093
"Africa","Cement",1984,19.462,0.0299726639202248
