"State","Year","Total_Emissions","Population","Emissions_Per_Capita"
"Australian Capital Territory",1990,1140000,282211,4.03953070574854
"Australian Capital Territory",1991,1228000,289320,4.24443522742984
"Australian Capital Territory",1992,1132000,294887,3.83875857531868
"Australian Capital Territory",1993,1171000,299753,3.90654972594102
"Australian Capital Territory",1994,1405000,302194,4.64933122431286
"Australian Capital Territory",1995,1121000,305838,3.66533916648683
"Australian Capital Territory",1996,1223000,309629,3.94988841484486
"Australian Capital Territory",1997,1121000,310533,3.60992229489297
"Australian Capital Territory",1998,1149000,311532,3.6882246446593
"Australian Capital Territory",1999,1401000,314171,4.45935493727938
"Australian Capital Territory",2000,1213000,317235,3.82366384541428
"Australian Capital Territory",2001,1121000,321538,3.48636864072054
"Australian Capital Territory",2002,1191000,324627,3.66882606807197
"Australian Capital Territory",2003,1286000,327357,3.92843287297965
"Australian Capital Territory",2004,1613000,328940,4.90362984130845
"Australian Capital Territory",2005,1422000,331399,4.29090009324108
"Australian Capital Territory",2006,1483000,335170,4.42462034191604
"Australian Capital Territory",2007,1328000,342644,3.8757427534117
"Australian Capital Territory",2008,1300000,348368,3.73168603316034
"Australian Capital Territory",2009,1951000,354785,5.49910509181617
"Australian Capital Territory",2010,1623000,361766,4.48632541477087
"Australian Capital Territory",2011,1798000,367985,4.8860687256274
"Australian Capital Territory",2012,1632000,376539,4.33421239234183
"Australian Capital Territory",2013,1561000,383257,4.07298496831108
"Australian Capital Territory",2014,1527000,388799,3.92747923734372
"Australian Capital Territory",2015,1583000,395813,3.99936333571661
"Australian Capital Territory",2016,1381000,403104,3.4259149003731
"Australian Capital Territory",2017,1466000,415046,3.53213860632315
"Australian Capital Territory",2018,1195000,426081,2.80463104433195
"Australian Capital Territory",2019,1186000,435730,2.72186904734583
"Australian Capital Territory",2020,1182000,444903,2.65675888901626
"Australian Capital Territory",2021,1104000,452508,2.43973587207298
"Australian Capital Territory",2022,1284000,456915,2.8101506844818
"New South Wales",1990,169167000,5834021,28.996638853374
"New South Wales",1991,156443000,5898731,26.5214670748675
"New South Wales",1992,156666000,5957822,26.2958510677224
"New South Wales",1993,141279000,5995055,23.5659222475857
"New South Wales",1994,143074000,6044819,23.6688641959337
"New South Wales",1995,134113000,6105560,21.9657164944739
"New South Wales",1996,127966000,6176461,20.7183369246564
"New South Wales",1997,127478000,6246267,20.4086696902326
"New South Wales",1998,132658000,6305799,21.0374609149451
"New South Wales",1999,139296000,6375103,21.8499999137269
"New South Wales",2000,148730000,6446558,23.0712265367038
"New South Wales",2001,151114000,6530349,23.14026401958
"New South Wales",2002,153247000,6580807,23.2869616142823
"New South Wales",2003,147400000,6620715,22.2634564393725
"New South Wales",2004,148905000,6650735,22.3892547214706
"New South Wales",2005,152743000,6693206,22.8206034596873
"New South Wales",2006,164351000,6742690,24.3746931862506
"New South Wales",2007,159815000,6834156,23.3847456803737
"New South Wales",2008,157175000,6943461,22.6364056772264
"New South Wales",2009,152397000,7053755,21.6050883536499
"New South Wales",2010,152116000,7144292,21.2919628704986
"New South Wales",2011,149418000,7218529,20.6992311037332
"New South Wales",2012,146178000,7304244,20.012748752643
"New South Wales",2013,135696000,7404032,18.3273113892539
"New South Wales",2014,137433000,7508353,18.3040142092414
"New South Wales",2015,129889000,7616168,17.0543769517689
"New South Wales",2016,120948000,7732858,15.6407889553901
"New South Wales",2017,139013000,7855316,17.6966782749415
"New South Wales",2018,133256000,7954476,16.7523291289081
"New South Wales",2019,119981000,8046748,14.9104955194322
"New South Wales",2020,116691000,8110610,14.3874505123536
"New South Wales",2021,107838000,8097062,13.3181640451808
"New South Wales",2022,110997000,8166704,13.5914072556076
"Northern Territory",1990,16960000,163728,103.586436040262
"Northern Territory",1991,18035000,165493,108.977418984489
"Northern Territory",1992,19627000,168546,116.448921956024
"Northern Territory",1993,18665000,171708,108.701982435297
"Northern Territory",1994,19498000,174908,111.475747249983
"Northern Territory",1995,21474000,179602,119.564370107237
"Northern Territory",1996,23584000,184516,127.815473996835
"Northern Territory",1997,21185000,189755,111.643961950937
"Northern Territory",1998,23624000,192905,122.464425494414
"Northern Territory",1999,21816000,196012,111.29930820562
"Northern Territory",2000,24228000,199149,121.657653314855
"Northern Territory",2001,19293000,201743,95.6315708599555
"Northern Territory",2002,18229000,202251,90.1305803185151
"Northern Territory",2003,18409000,201725,91.2579006072624
"Northern Territory",2004,10386000,202663,51.2476377039716
"Northern Territory",2005,11213000,205905,54.4571525703601
"Northern Territory",2006,17718000,209057,84.7520054339247
"Northern Territory",2007,18009000,213748,84.2534199150401
"Northern Territory",2008,13008000,219874,59.1611559347626
"Northern Territory",2009,17698000,226027,78.3003800430922
"Northern Territory",2010,12484000,229778,54.3307018078319
"Northern Territory",2011,10050000,231292,43.451567715269
"Northern Territory",2012,8088000,235915,34.2835343238031
"Northern Territory",2013,11267000,241722,46.6113965629939
"Northern Territory",2014,14207000,242894,58.4905349658699
"Northern Territory",2015,11381000,244692,46.5115328658068
"Northern Territory",2016,12767000,245678,51.9663950374067
"Northern Territory",2017,14699000,247412,59.4110229091556
"Northern Territory",2018,11138000,247095,45.075780570226
"Northern Territory",2019,17676000,246559,71.6907515036969
"Northern Territory",2020,18127000,247428,73.2617165397611
"Northern Territory",2021,15300000,248151,61.6560078339398
"Northern Territory",2022,16732000,250228,66.8670172802404
"Queensland",1990,184663000,2899283,63.6926440088808
"Queensland",1991,180602000,2960951,60.9945926156833
"Queensland",1992,151899000,3023198,50.244476213599
"Queensland",1993,150333000,3096185,48.55426920549
"Queensland",1994,135231000,3166566,42.7058839133623
"Queensland",1995,130442000,3237380,40.2924587166165
"Queensland",1996,133293000,3303192,40.3527860324196
"Queensland",1997,139148000,3355417,41.4696593597755
"Queensland",1998,142498000,3404484,41.855975824824
"Queensland",1999,159312000,3453936,46.1247689592395
"Queensland",2000,157362000,3509458,44.8394025516191
"Queensland",2001,171385000,3571469,47.9872567842532
"Queensland",2002,180572000,3653123,49.4294881393263
"Queensland",2003,175275000,3743121,46.8258974262387
"Queensland",2004,164990000,3829970,43.0786664125306
"Queensland",2005,191939000,3918494,48.9828490231196
"Queensland",2006,204571000,4007992,51.0407705404602
"Queensland",2007,189660000,4111018,46.1345583989172
"Queensland",2008,186708000,4219505,44.2487922161486
"Queensland",2009,181060000,4328771,41.8271144396412
"Queensland",2010,178456000,4404744,40.514499821102
"Queensland",2011,179756000,4476778,40.1529850262845
"Queensland",2012,164059000,4568687,35.9094418155588
"Queensland",2013,181930000,4652824,39.1009846923073
"Queensland",2014,174333000,4719653,36.937673172159
"Queensland",2015,169698000,4777692,35.5188237333005
"Queensland",2016,156099000,4845152,32.2175651042527
"Queensland",2017,168356000,4926380,34.1743836244869
"Queensland",2018,165674000,5006623,33.090967704179
"Queensland",2019,157052000,5088847,30.8620007636307
"Queensland",2020,151133000,5165613,29.2575150325818
"Queensland",2021,143283000,5215814,27.4708799048432
"Queensland",2022,124096000,5320941,23.3221905674203
"South Australia",1990,37103000,1432056,25.9089030037931
"South Australia",1991,31806000,1446299,21.9913033197147
"South Australia",1992,32411000,1455442,22.268836545874
"South Australia",1993,32178000,1458632,22.0603963165487
"South Australia",1994,30144000,1463089,20.602984507436
"South Australia",1995,30570000,1465340,20.8620524929368
"South Australia",1996,29568000,1469079,20.1268958306531
"South Australia",1997,28224000,1475658,19.1263829423891
"South Australia",1998,30084000,1483270,20.2822142967902
"South Australia",1999,32996000,1490934,22.1310936634351
"South Australia",2000,31151000,1497503,20.8019616655192
"South Australia",2001,33813000,1503461,22.4901078245462
"South Australia",2002,34984000,1511567,23.1441940714504
"South Australia",2003,35059000,1520399,23.0590785708225
"South Australia",2004,35414000,1528189,23.1738351735289
"South Australia",2005,36532000,1538804,23.7405153612806
"South Australia",2006,34963000,1552529,22.5200302216577
"South Australia",2007,33190000,1570619,21.1317958078949
"South Australia",2008,34048000,1588665,21.431831128652
"South Australia",2009,30175000,1608902,18.7550267200861
"South Australia",2010,28785000,1627322,17.6885705471935
"South Australia",2011,24168000,1639614,14.7400546714044
"South Australia",2012,25809000,1656725,15.5783247068765
"South Australia",2013,26473000,1671488,15.8379838802313
"South Australia",2014,24678000,1686945,14.6288112534789
"South Australia",2015,26655000,1700668,15.6732530981944
"South Australia",2016,22017000,1712843,12.8540677692001
"South Australia",2017,22569000,1728673,13.0556791249704
"South Australia",2018,25004000,1746137,14.3196095151755
"South Australia",2019,23288000,1767395,13.1764546125795
"South Australia",2020,24061000,1790355,13.4392341183732
"South Australia",2021,19905000,1802601,11.0423770984261
"South Australia",2022,15821000,1821215,8.68705781579879
"Tasmania",1990,19543000,462188,42.2836594632487
"Tasmania",1991,23077000,466802,49.4363777361708
"Tasmania",1992,18220000,469979,38.7676896201745
"Tasmania",1993,16496000,471987,34.9501151514766
"Tasmania",1994,15726000,473499,33.2123193501993
"Tasmania",1995,20194000,474515,42.5571372875462
"Tasmania",1996,18580000,475605,39.0660316859579
"Tasmania",1997,14444000,474908,30.414311824606
"Tasmania",1998,15210000,473430,32.1272416196692
"Tasmania",1999,15246000,473030,32.230513920893
"Tasmania",2000,17891000,473123,37.814690894334
"Tasmania",2001,18167000,473668,38.3538681101531
"Tasmania",2002,13784000,474152,29.0708464796099
"Tasmania",2003,13465000,478534,28.1380215407892
"Tasmania",2004,13456000,483178,27.8489500763694
"Tasmania",2005,15500000,486202,31.8797536826257
"Tasmania",2006,10535000,489302,21.5306702200277
"Tasmania",2007,9373000,493262,19.0020719212102
"Tasmania",2008,11780000,498568,23.6276696458658
"Tasmania",2009,9584000,504353,19.0025636805967
"Tasmania",2010,8629000,508847,16.9579461016769
"Tasmania",2011,9340000,511483,18.2606264528831
"Tasmania",2012,2358000,511724,4.60795272451556
